,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Continent
5189,Qatar,1975,Female,Not applicable,Percent,41.27086,Asia
2965,Iraq,1993,Female,Not applicable,Percent,41.2715,Asia
2903,India,2000,Female,Not applicable,Percent,41.28628,Asia
5106,Philippines,1985,Male,Not applicable,Percent,41.44962,Asia
2972,Iraq,1988,All genders,Not applicable,Percent,41.55063,Asia
1076,Cambodia,2004,Female,Not applicable,Percent,41.62934,Asia
6,Afghanistan,1984,All genders,Not applicable,Percent,41.74474,Asia
6364,United Arab Emirates,1989,All genders,Not applicable,Percent,41.79415,Asia
5093,Philippines,1989,Female,Not applicable,Percent,42.01617,Asia
3,Afghanistan,1985,Male,Not applicable,Percent,42.075759999999995,Asia
5095,Philippines,1989,All genders,Not applicable,Percent,42.122279999999996,Asia
5094,Philippines,1989,Male,Not applicable,Percent,42.224759999999996,Asia
2978,Iraq,1986,All genders,Not applicable,Percent,42.409240000000004,Asia
2971,Iraq,1988,Female,Not applicable,Percent,42.435790000000004,Asia
6363,United Arab Emirates,1989,Male,Not applicable,Percent,42.56747,Asia
4748,Oman,1989,Female,Not applicable,Percent,42.63538,Asia
2910,India,1995,All genders,Not applicable,Percent,42.6672,Asia
1068,Cambodia,2007,Female,Not applicable,Percent,42.6693,Asia
4456,Nepal,2004,Male,Not applicable,Percent,42.704029999999996,Asia
5103,Philippines,1986,Male,Not applicable,Percent,42.83704,Asia
2914,India,1987,Male,Not applicable,Percent,42.99534,Asia
4751,Oman,1988,All genders,Not applicable,Percent,43.031259999999996,Asia
2913,India,1988,Male,Not applicable,Percent,43.04562,Asia
1077,Cambodia,2004,All genders,Not applicable,Percent,43.0775,Asia
5097,Philippines,1988,Male,Not applicable,Percent,43.159620000000004,Asia
5096,Philippines,1988,All genders,Not applicable,Percent,43.17154,Asia
5098,Philippines,1988,Female,Not applicable,Percent,43.1838,Asia
1074,Cambodia,2005,Female,Not applicable,Percent,43.24555,Asia
6523,Yemen,2004,Female,Not applicable,Percent,43.24836,Asia
4463,Nepal,1999,Male,Not applicable,Percent,43.35132,Asia
2979,Iraq,1985,All genders,Not applicable,Percent,43.49514,Asia
6391,United Arab Emirates,1978,All genders,Not applicable,Percent,43.87348,Asia
1090,Cambodia,2000,Male,Not applicable,Percent,43.88624,Asia
6381,United Arab Emirates,1983,Male,Not applicable,Percent,44.00099,Asia
4449,Nepal,2012,Female,Not applicable,Percent,44.08667,Asia
1082,Cambodia,2002,Female,Not applicable,Percent,44.1381,Asia
2955,Indonesia,1983,All genders,Not applicable,Percent,44.19668,Asia
1071,Cambodia,2006,Female,Not applicable,Percent,44.23018,Asia
2969,Iraq,1989,Male,Not applicable,Percent,44.242290000000004,Asia
6382,United Arab Emirates,1983,All genders,Not applicable,Percent,44.29473,Asia
1078,Cambodia,2004,Male,Not applicable,Percent,44.372890000000005,Asia
2975,Iraq,1987,Male,Not applicable,Percent,44.543409999999994,Asia
6380,United Arab Emirates,1983,Female,Not applicable,Percent,44.613459999999996,Asia
6368,United Arab Emirates,1987,Female,Not applicable,Percent,44.63858,Asia
4450,Nepal,2012,All genders,Not applicable,Percent,44.73823,Asia
1073,Cambodia,2005,All genders,Not applicable,Percent,44.90865,Asia
6395,United Arab Emirates,1977,Male,Not applicable,Percent,44.960770000000004,Asia
1083,Cambodia,2002,All genders,Not applicable,Percent,44.982240000000004,Asia
1089,Cambodia,2000,All genders,Not applicable,Percent,45.2643,Asia
2983,Iraq,1977,All genders,Not applicable,Percent,45.283190000000005,Asia
2990,Iraq,1975,Male,Not applicable,Percent,45.324529999999996,Asia
1081,Cambodia,2003,Female,Not applicable,Percent,45.32535,Asia
6367,United Arab Emirates,1988,Female,Not applicable,Percent,45.34916,Asia
1058,Cambodia,2013,Female,Not applicable,Percent,45.360690000000005,Asia
4448,Nepal,2012,Male,Not applicable,Percent,45.391940000000005,Asia
1072,Cambodia,2006,All genders,Not applicable,Percent,45.51611,Asia
1067,Cambodia,2007,All genders,Not applicable,Percent,45.53651,Asia
6384,United Arab Emirates,1982,Male,Not applicable,Percent,45.69295,Asia
1084,Cambodia,2002,Male,Not applicable,Percent,45.74289,Asia
5,Afghanistan,1985,All genders,Not applicable,Percent,45.81688,Asia
2909,India,1995,Female,Not applicable,Percent,45.86015,Asia
1075,Cambodia,2005,Male,Not applicable,Percent,46.4117,Asia
1080,Cambodia,2003,All genders,Not applicable,Percent,46.482490000000006,Asia
6370,United Arab Emirates,1987,All genders,Not applicable,Percent,46.5892,Asia
2967,Iraq,1989,All genders,Not applicable,Percent,46.59407,Asia
2911,India,1988,All genders,Not applicable,Percent,46.604620000000004,Asia
1070,Cambodia,2006,Male,Not applicable,Percent,46.6708,Asia
4756,Oman,1987,Male,Not applicable,Percent,46.75258,Asia
2977,Iraq,1986,Female,Not applicable,Percent,46.754690000000004,Asia
4786,Pakistan,2010,Male,Not applicable,Percent,46.79607,Asia
6365,United Arab Emirates,1988,All genders,Not applicable,Percent,46.80851,Asia
2973,Iraq,1987,All genders,Not applicable,Percent,46.8549,Asia
7,Afghanistan,1984,Female,Not applicable,Percent,46.861670000000004,Asia
2916,India,1987,All genders,Not applicable,Percent,46.87788,Asia
1088,Cambodia,2000,Female,Not applicable,Percent,46.921440000000004,Asia
2980,Iraq,1985,Female,Not applicable,Percent,47.09973,Asia
6373,United Arab Emirates,1986,Female,Not applicable,Percent,47.255959999999995,Asia
6383,United Arab Emirates,1982,All genders,Not applicable,Percent,47.49327,Asia
1079,Cambodia,2003,Male,Not applicable,Percent,47.54105,Asia
4787,Pakistan,2010,All genders,Not applicable,Percent,47.79435,Asia
6379,United Arab Emirates,1984,Female,Not applicable,Percent,47.88939,Asia
1069,Cambodia,2007,Male,Not applicable,Percent,48.04403,Asia
6366,United Arab Emirates,1988,Male,Not applicable,Percent,48.17131,Asia
6377,United Arab Emirates,1984,All genders,Not applicable,Percent,48.33681,Asia
6369,United Arab Emirates,1987,Male,Not applicable,Percent,48.41199,Asia
2963,Iraq,1999,Male,Not applicable,Percent,48.54632,Asia
6396,United Arab Emirates,1977,All genders,Not applicable,Percent,48.62749,Asia
18,Afghanistan,1978,Male,Not applicable,Percent,48.66194,Asia
6378,United Arab Emirates,1984,Male,Not applicable,Percent,48.75669,Asia
4757,Oman,1986,Male,Not applicable,Percent,48.77969,Asia
6393,United Arab Emirates,1978,Female,Not applicable,Percent,48.786359999999995,Asia
6371,United Arab Emirates,1986,All genders,Not applicable,Percent,48.83047,Asia
4785,Pakistan,2010,Female,Not applicable,Percent,49.04553,Asia
2968,Iraq,1989,Female,Not applicable,Percent,49.30075,Asia
6385,United Arab Emirates,1982,Female,Not applicable,Percent,49.4158,Asia
2974,Iraq,1987,Female,Not applicable,Percent,49.45613,Asia
4764,Oman,1984,Male,Not applicable,Percent,49.49471,Asia
5405,Saudi Arabia,1979,Male,Not applicable,Percent,49.55774,Asia
5407,Saudi Arabia,1979,All genders,Not applicable,Percent,49.779109999999996,Asia
17,Afghanistan,1978,All genders,Not applicable,Percent,49.988279999999996,Asia
4753,Oman,1988,Female,Not applicable,Percent,50.01681,Asia
5406,Saudi Arabia,1979,Female,Not applicable,Percent,50.122859999999996,Asia
4767,Oman,1983,Male,Not applicable,Percent,50.26945,Asia
6372,United Arab Emirates,1986,Male,Not applicable,Percent,50.28127,Asia
2956,Indonesia,1982,All genders,Not applicable,Percent,50.44733,Asia
2961,Iraq,1999,All genders,Not applicable,Percent,50.50315,Asia
6374,United Arab Emirates,1985,Female,Not applicable,Percent,50.78996,Asia
6376,United Arab Emirates,1985,All genders,Not applicable,Percent,50.87146,Asia
6398,United Arab Emirates,1976,Male,Not applicable,Percent,50.89755,Asia
6375,United Arab Emirates,1985,Male,Not applicable,Percent,50.94608,Asia
19,Afghanistan,1977,Male,Not applicable,Percent,50.95145,Asia
2912,India,1988,Female,Not applicable,Percent,51.425340000000006,Asia
2915,India,1987,Female,Not applicable,Percent,52.12961,Asia
4761,Oman,1985,Male,Not applicable,Percent,52.470909999999996,Asia
20,Afghanistan,1977,All genders,Not applicable,Percent,52.508430000000004,Asia
6394,United Arab Emirates,1977,Female,Not applicable,Percent,52.581340000000004,Asia
2962,Iraq,1999,Female,Not applicable,Percent,52.808769999999996,Asia
1057,Cambodia,2013,All genders,Not applicable,Percent,53.07779,Asia
5743,Sri Lanka,1976,All genders,Not applicable,Percent,53.09333,Asia
2986,Iraq,1976,Male,Not applicable,Percent,53.14799,Asia
4,Afghanistan,1985,Female,Not applicable,Percent,53.415690000000005,Asia
13,Afghanistan,1980,Male,Not applicable,Percent,53.41875,Asia
11,Afghanistan,1981,Female,Not applicable,Percent,53.557069999999996,Asia
2991,Iraq,1975,All genders,Not applicable,Percent,53.70196,Asia
4755,Oman,1987,All genders,Not applicable,Percent,54.079519999999995,Asia
14,Afghanistan,1980,All genders,Not applicable,Percent,54.56100000000001,Asia
1091,Cambodia,1998,Male,Not applicable,Percent,55.06026,Asia
10,Afghanistan,1981,All genders,Not applicable,Percent,55.43767,Asia
1097,Cambodia,1995,Male,Not applicable,Percent,55.76606999999999,Asia
12,Afghanistan,1981,Male,Not applicable,Percent,55.861990000000006,Asia
1092,Cambodia,1998,All genders,Not applicable,Percent,55.94409,Asia
16,Afghanistan,1978,Female,Not applicable,Percent,56.014030000000005,Asia
4468,Nepal,1992,Male,Not applicable,Percent,56.1196,Asia
6397,United Arab Emirates,1976,All genders,Not applicable,Percent,56.312419999999996,Asia
2958,Indonesia,1977,All genders,Not applicable,Percent,57.05066,Asia
1093,Cambodia,1998,Female,Not applicable,Percent,57.07085,Asia
4758,Oman,1986,All genders,Not applicable,Percent,57.35576,Asia
4770,Oman,1979,Male,Not applicable,Percent,57.994659999999996,Asia
4763,Oman,1984,All genders,Not applicable,Percent,58.86244,Asia
2957,Indonesia,1978,All genders,Not applicable,Percent,59.17934,Asia
1059,Cambodia,2013,Male,Not applicable,Percent,59.23315,Asia
15,Afghanistan,1980,Female,Not applicable,Percent,59.47943000000001,Asia
21,Afghanistan,1977,Female,Not applicable,Percent,59.692069999999994,Asia
4768,Oman,1983,All genders,Not applicable,Percent,59.79141,Asia
424,Bangladesh,1989,All genders,Not applicable,Percent,59.94105,Asia
1098,Cambodia,1995,All genders,Not applicable,Percent,60.10824,Asia
2988,Iraq,1976,All genders,Not applicable,Percent,60.4515,Asia
4467,Nepal,1992,All genders,Not applicable,Percent,61.06973000000001,Asia
4754,Oman,1987,Female,Not applicable,Percent,61.85708,Asia
4762,Oman,1985,All genders,Not applicable,Percent,61.98015,Asia
5991,Thailand,1978,Male,Not applicable,Percent,61.98033,Asia
6399,United Arab Emirates,1976,Female,Not applicable,Percent,62.007830000000006,Asia
2960,Indonesia,1975,All genders,Not applicable,Percent,62.014480000000006,Asia
2959,Indonesia,1976,All genders,Not applicable,Percent,62.95355,Asia
2984,Iraq,1977,Female,Not applicable,Percent,63.567190000000004,Asia
5995,Thailand,1977,Male,Not applicable,Percent,63.77652,Asia
5992,Thailand,1978,All genders,Not applicable,Percent,64.25126,Asia
4469,Nepal,1991,All genders,Not applicable,Percent,64.25349,Asia
431,Bangladesh,1976,Male,Not applicable,Percent,64.3631,Asia
5998,Thailand,1976,Male,Not applicable,Percent,64.91453,Asia
1099,Cambodia,1995,Female,Not applicable,Percent,65.08753,Asia
4769,Oman,1979,All genders,Not applicable,Percent,65.16906999999999,Asia
1100,Cambodia,1994,All genders,Not applicable,Percent,65.595,Asia
429,Bangladesh,1976,All genders,Not applicable,Percent,66.12382,Asia
4759,Oman,1986,Female,Not applicable,Percent,66.21446,Asia
6400,United Arab Emirates,1975,Female,Not applicable,Percent,66.45914,Asia
5996,Thailand,1977,All genders,Not applicable,Percent,66.47345,Asia
6402,United Arab Emirates,1975,All genders,Not applicable,Percent,66.48955,Asia
6401,United Arab Emirates,1975,Male,Not applicable,Percent,66.51495,Asia
6001,Thailand,1975,Male,Not applicable,Percent,66.58324,Asia
4470,Nepal,1988,All genders,Not applicable,Percent,66.62991,Asia
5993,Thailand,1978,Female,Not applicable,Percent,66.67743,Asia
2989,Iraq,1975,Female,Not applicable,Percent,67.62875,Asia
5997,Thailand,1976,All genders,Not applicable,Percent,67.6337,Asia
721,Bhutan,1993,Male,Not applicable,Percent,67.66891,Asia
4466,Nepal,1992,Female,Not applicable,Percent,67.71533000000001,Asia
723,Bhutan,1993,All genders,Not applicable,Percent,68.98427,Asia
430,Bangladesh,1976,Female,Not applicable,Percent,69.28581,Asia
5994,Thailand,1977,Female,Not applicable,Percent,69.3131,Asia
6002,Thailand,1975,All genders,Not applicable,Percent,69.54252,Asia
4765,Oman,1984,Female,Not applicable,Percent,69.75057,Asia
5999,Thailand,1976,Female,Not applicable,Percent,70.51995,Asia
722,Bhutan,1993,Female,Not applicable,Percent,70.65290999999999,Asia
4766,Oman,1983,Female,Not applicable,Percent,71.56896,Asia
2987,Iraq,1976,Female,Not applicable,Percent,72.10045,Asia
4760,Oman,1985,Female,Not applicable,Percent,72.1872,Asia
6000,Thailand,1975,Female,Not applicable,Percent,72.68472,Asia
4772,Oman,1978,All genders,Not applicable,Percent,74.40295,Asia
428,Bangladesh,1977,All genders,Not applicable,Percent,75.46589,Asia
427,Bangladesh,1981,Male,Not applicable,Percent,75.91463,Asia
4771,Oman,1979,Female,Not applicable,Percent,76.85732,Asia
425,Bangladesh,1981,All genders,Not applicable,Percent,77.5633,Asia
724,Bhutan,1988,All genders,Not applicable,Percent,77.77676,Asia
426,Bangladesh,1981,Female,Not applicable,Percent,79.85179000000001,Asia
1096,Cambodia,1997,Male,Not applicable,Percent,83.06645,Asia
1095,Cambodia,1997,All genders,Not applicable,Percent,85.80478000000001,Asia
1094,Cambodia,1997,Female,Not applicable,Percent,88.87035999999999,Asia
727,Bhutan,1979,Male,Not applicable,Percent,89.59804,Asia
725,Bhutan,1979,All genders,Not applicable,Percent,90.4727,Asia
728,Bhutan,1978,Male,Not applicable,Percent,91.22086999999999,Asia
730,Bhutan,1978,All genders,Not applicable,Percent,91.7804,Asia
726,Bhutan,1979,Female,Not applicable,Percent,92.35858,Asia
4775,Oman,1975,Male,Not applicable,Percent,92.92912,Asia
729,Bhutan,1978,Female,Not applicable,Percent,93.12039,Asia
731,Bhutan,1977,All genders,Not applicable,Percent,93.43212,Asia
732,Bhutan,1976,All genders,Not applicable,Percent,94.15052,Asia
4773,Oman,1975,All genders,Not applicable,Percent,94.65616999999999,Asia
4774,Oman,1975,Female,Not applicable,Percent,98.44903000000001,Asia
250,Austria,2012,Female,Not applicable,Percent,0.0,Europe
255,Austria,2011,Female,Not applicable,Percent,0.0,Europe
256,Austria,2010,Female,Not applicable,Percent,0.0,Europe
305,Azerbaijan,2007,Male,Not applicable,Percent,0.0,Europe
311,Azerbaijan,2005,Male,Not applicable,Percent,0.0,Europe
459,Belarus,2007,Female,Not applicable,Percent,0.0,Europe
465,Belarus,2005,Female,Not applicable,Percent,0.0,Europe
489,Belarus,1996,Female,Not applicable,Percent,0.0,Europe
960,Bulgaria,1980,All genders,Not applicable,Percent,0.0,Europe
1610,Croatia,2002,Female,Not applicable,Percent,0.0,Europe
2267,Finland,2005,Female,Not applicable,Percent,0.0,Europe
2284,Finland,2000,Female,Not applicable,Percent,0.0,Europe
2453,Georgia,2002,Male,Not applicable,Percent,0.0,Europe
2460,Georgia,2000,Female,Not applicable,Percent,0.0,Europe
3027,Italy,2011,Female,Not applicable,Percent,0.0,Europe
3031,Italy,2010,Male,Not applicable,Percent,0.0,Europe
4679,Norway,2006,Male,Not applicable,Percent,0.0,Europe
5131,Poland,1998,All genders,Not applicable,Percent,0.0,Europe
2272,Finland,2004,Female,Not applicable,Percent,0.00206,Europe
5679,Spain,2008,Female,Not applicable,Percent,0.0022600000000000003,Europe
302,Azerbaijan,2008,Male,Not applicable,Percent,0.006379999999999999,Europe
3038,Italy,2008,Female,Not applicable,Percent,0.013630000000000001,Europe
2249,Finland,2011,Female,Not applicable,Percent,0.016390000000000002,Europe
1692,Cyprus,2003,Male,Not applicable,Percent,0.02515,Europe
5487,Serbia,2012,Female,Not applicable,Percent,0.05416,Europe
3044,Italy,2006,Female,Not applicable,Percent,0.05485,Europe
1781,Denmark,2000,Female,Not applicable,Percent,0.06435,Europe
307,Azerbaijan,2006,Female,Not applicable,Percent,0.08108,Europe
5888,Sweden,2012,Female,Not applicable,Percent,0.08782999999999999,Europe
1783,Denmark,2000,All genders,Not applicable,Percent,0.08788,Europe
2255,Finland,2009,Female,Not applicable,Percent,0.0885,Europe
288,Azerbaijan,2013,Female,Not applicable,Percent,0.0928,Europe
3050,Italy,2004,Male,Not applicable,Percent,0.09367,Europe
2278,Finland,2002,Female,Not applicable,Percent,0.10482000000000001,Europe
4673,Norway,2008,Male,Not applicable,Percent,0.10826,Europe
1782,Denmark,2000,Male,Not applicable,Percent,0.11037999999999999,Europe
1784,Denmark,1999,All genders,Not applicable,Percent,0.12393,Europe
1785,Denmark,1999,Male,Not applicable,Percent,0.12409,Europe
1786,Denmark,1999,Female,Not applicable,Percent,0.12424,Europe
3047,Italy,2005,Female,Not applicable,Percent,0.12451,Europe
290,Azerbaijan,2012,Male,Not applicable,Percent,0.13624,Europe
318,Azerbaijan,2003,Female,Not applicable,Percent,0.13627999999999998,Europe
4685,Norway,2004,Male,Not applicable,Percent,0.14302,Europe
2252,Finland,2010,Male,Not applicable,Percent,0.14676,Europe
1788,Denmark,1998,Male,Not applicable,Percent,0.14932,Europe
4689,Norway,2003,Female,Not applicable,Percent,0.14934,Europe
2273,Finland,2003,Female,Not applicable,Percent,0.15225999999999998,Europe
3629,Lithuania,1999,Female,Not applicable,Percent,0.15272,Europe
26,Albania,2012,Female,Not applicable,Percent,0.16272999999999999,Europe
467,Belarus,2004,Male,Not applicable,Percent,0.16499,Europe
2264,Finland,2006,Male,Not applicable,Percent,0.16772,Europe
2277,Finland,2002,All genders,Not applicable,Percent,0.16817000000000001,Europe
2429,Georgia,2012,Female,Not applicable,Percent,0.16852999999999999,Europe
4686,Norway,2004,All genders,Not applicable,Percent,0.16898,Europe
1617,Croatia,2000,Male,Not applicable,Percent,0.17526,Europe
2430,Georgia,2012,All genders,Not applicable,Percent,0.17955,Europe
249,Austria,2013,Female,Not applicable,Percent,0.1798,Europe
3033,Italy,2009,Female,Not applicable,Percent,0.18279,Europe
1593,Croatia,2010,Male,Not applicable,Percent,0.18764,Europe
1789,Denmark,1998,All genders,Not applicable,Percent,0.18821,Europe
2431,Georgia,2012,Male,Not applicable,Percent,0.1885,Europe
1589,Croatia,2011,Female,Not applicable,Percent,0.1952,Europe
4684,Norway,2004,Female,Not applicable,Percent,0.19609000000000001,Europe
1730,Czech Republic,2008,Female,Not applicable,Percent,0.20185999999999998,Europe
2261,Finland,2007,Female,Not applicable,Percent,0.20327,Europe
6307,Ukraine,1976,All genders,Not applicable,Percent,0.20355,Europe
4691,Norway,2002,Male,Not applicable,Percent,0.21923,Europe
1607,Croatia,2005,Female,Not applicable,Percent,0.22576999999999997,Europe
1787,Denmark,1998,Female,Not applicable,Percent,0.2287,Europe
2276,Finland,2002,Male,Not applicable,Percent,0.22959000000000002,Europe
5126,Poland,2003,All genders,Not applicable,Percent,0.23299,Europe
2461,Georgia,1999,Female,Not applicable,Percent,0.24595999999999998,Europe
5612,Slovenia,1999,Male,Not applicable,Percent,0.25227,Europe
254,Austria,2011,All genders,Not applicable,Percent,0.26172,Europe
2444,Georgia,2006,All genders,Not applicable,Percent,0.26718000000000003,Europe
5901,Sweden,2007,Female,Not applicable,Percent,0.27663000000000004,Europe
5890,Sweden,2012,All genders,Not applicable,Percent,0.27926999999999996,Europe
2258,Finland,2008,Male,Not applicable,Percent,0.28236999999999995,Europe
1618,Croatia,1999,Female,Not applicable,Percent,0.28415,Europe
2256,Finland,2009,All genders,Not applicable,Percent,0.28755,Europe
3049,Italy,2004,All genders,Not applicable,Percent,0.28838,Europe
5922,Sweden,2000,Female,Not applicable,Percent,0.29505,Europe
4695,Norway,2001,Female,Not applicable,Percent,0.29521,Europe
5593,Slovenia,2012,Male,Not applicable,Percent,0.29819,Europe
5605,Slovenia,2008,Male,Not applicable,Percent,0.30651999999999996,Europe
3039,Italy,2007,Female,Not applicable,Percent,0.3081,Europe
5613,Slovenia,1999,All genders,Not applicable,Percent,0.31968,Europe
456,Belarus,2009,All genders,Not applicable,Percent,0.32156999999999997,Europe
2495,Germany,2000,Female,Not applicable,Percent,0.32195999999999997,Europe
1612,Croatia,2001,Male,Not applicable,Percent,0.33565,Europe
3925,Malta,2012,Female,Not applicable,Percent,0.33588,Europe
3036,Italy,2008,All genders,Not applicable,Percent,0.33944,Europe
4700,Norway,1999,Male,Not applicable,Percent,0.33976,Europe
1687,Cyprus,2005,Female,Not applicable,Percent,0.34053,Europe
3026,Italy,2012,Female,Not applicable,Percent,0.34655,Europe
4665,Norway,2011,Female,Not applicable,Percent,0.34849,Europe
5900,Sweden,2007,All genders,Not applicable,Percent,0.35064,Europe
2265,Finland,2006,All genders,Not applicable,Percent,0.35220999999999997,Europe
1604,Croatia,2006,Female,Not applicable,Percent,0.35588000000000003,Europe
3035,Italy,2009,All genders,Not applicable,Percent,0.35798,Europe
2253,Finland,2010,All genders,Not applicable,Percent,0.38448000000000004,Europe
5591,Slovenia,2012,All genders,Not applicable,Percent,0.38861999999999997,Europe
251,Austria,2012,All genders,Not applicable,Percent,0.3892,Europe
2274,Finland,2003,All genders,Not applicable,Percent,0.39257,Europe
454,Belarus,2010,Female,Not applicable,Percent,0.39259,Europe
5614,Slovenia,1999,Female,Not applicable,Percent,0.39376,Europe
1595,Croatia,2009,Female,Not applicable,Percent,0.40031,Europe
2279,Finland,2001,Female,Not applicable,Percent,0.40207,Europe
2262,Finland,2007,All genders,Not applicable,Percent,0.40626999999999996,Europe
1729,Czech Republic,2008,All genders,Not applicable,Percent,0.41597,Europe
4699,Norway,1999,All genders,Not applicable,Percent,0.41741000000000006,Europe
5902,Sweden,2007,Male,Not applicable,Percent,0.42208999999999997,Europe
3041,Italy,2007,All genders,Not applicable,Percent,0.42518,Europe
5894,Sweden,2009,Female,Not applicable,Percent,0.43438999999999994,Europe
2248,Finland,2012,Female,Not applicable,Percent,0.44256999999999996,Europe
2250,Finland,2011,All genders,Not applicable,Percent,0.44827,Europe
1609,Croatia,2002,All genders,Not applicable,Percent,0.44835,Europe
4704,Norway,1998,Male,Not applicable,Percent,0.45313000000000003,Europe
1623,Croatia,1998,Female,Not applicable,Percent,0.45631000000000005,Europe
5889,Sweden,2012,Male,Not applicable,Percent,0.45923,Europe
1614,Croatia,2001,All genders,Not applicable,Percent,0.46192,Europe
1738,Czech Republic,2005,Male,Not applicable,Percent,0.46683,Europe
2257,Finland,2009,Male,Not applicable,Percent,0.47368999999999994,Europe
2280,Finland,2001,All genders,Not applicable,Percent,0.47756000000000004,Europe
5592,Slovenia,2012,Female,Not applicable,Percent,0.47971,Europe
2287,Finland,1999,Male,Not applicable,Percent,0.48155,Europe
3030,Italy,2010,All genders,Not applicable,Percent,0.48225,Europe
5681,Spain,2005,Male,Not applicable,Percent,0.4833,Europe
5604,Slovenia,2008,All genders,Not applicable,Percent,0.48628000000000005,Europe
1615,Croatia,2000,All genders,Not applicable,Percent,0.48694,Europe
1774,Denmark,2008,Female,Not applicable,Percent,0.48835,Europe
5119,Poland,2009,Female,Not applicable,Percent,0.49051000000000006,Europe
3048,Italy,2004,Female,Not applicable,Percent,0.4959,Europe
2259,Finland,2008,All genders,Not applicable,Percent,0.49653,Europe
457,Belarus,2008,All genders,Not applicable,Percent,0.49703,Europe
4701,Norway,1999,Female,Not applicable,Percent,0.50048,Europe
3042,Italy,2006,All genders,Not applicable,Percent,0.50135,Europe
1608,Croatia,2005,All genders,Not applicable,Percent,0.5038100000000001,Europe
248,Austria,2013,All genders,Not applicable,Percent,0.50383,Europe
4667,Norway,2010,Male,Not applicable,Percent,0.50685,Europe
2290,Finland,1998,Female,Not applicable,Percent,0.50776,Europe
253,Austria,2011,Male,Not applicable,Percent,0.5099600000000001,Europe
2289,Finland,1998,All genders,Not applicable,Percent,0.51522,Europe
2288,Finland,1998,Male,Not applicable,Percent,0.52173,Europe
3034,Italy,2009,Male,Not applicable,Percent,0.5228,Europe
2271,Finland,2004,All genders,Not applicable,Percent,0.52342,Europe
1622,Croatia,1998,All genders,Not applicable,Percent,0.52778,Europe
6259,Ukraine,2012,Male,Not applicable,Percent,0.52908,Europe
4674,Norway,2008,All genders,Not applicable,Percent,0.5291,Europe
1718,Czech Republic,2012,Female,Not applicable,Percent,0.5293800000000001,Europe
1772,Denmark,2008,All genders,Not applicable,Percent,0.53183,Europe
3040,Italy,2007,Male,Not applicable,Percent,0.5332,Europe
5678,Spain,2008,All genders,Not applicable,Percent,0.53471,Europe
2266,Finland,2006,Female,Not applicable,Percent,0.54392,Europe
1603,Croatia,2006,All genders,Not applicable,Percent,0.54651,Europe
2281,Finland,2001,Male,Not applicable,Percent,0.55014,Europe
480,Belarus,1999,Female,Not applicable,Percent,0.55167,Europe
2247,Finland,2012,All genders,Not applicable,Percent,0.5528,Europe
4683,Norway,2005,Female,Not applicable,Percent,0.55387,Europe
1590,Croatia,2011,All genders,Not applicable,Percent,0.5604600000000001,Europe
5584,Slovakia,1994,Male,Not applicable,Percent,0.56786,Europe
1773,Denmark,2008,Male,Not applicable,Percent,0.5733,Europe
2286,Finland,1999,All genders,Not applicable,Percent,0.5752,Europe
2500,Germany,1999,Female,Not applicable,Percent,0.57582,Europe
5685,Spain,1985,Female,Not applicable,Percent,0.57618,Europe
5896,Sweden,2009,All genders,Not applicable,Percent,0.5786600000000001,Europe
5586,Slovakia,1993,Female,Not applicable,Percent,0.58329,Europe
258,Austria,2010,All genders,Not applicable,Percent,0.58834,Europe
4680,Norway,2006,All genders,Not applicable,Percent,0.5887100000000001,Europe
1621,Croatia,1998,Male,Not applicable,Percent,0.5949,Europe
5683,Spain,2005,All genders,Not applicable,Percent,0.5976899999999999,Europe
1613,Croatia,2001,Female,Not applicable,Percent,0.5988,Europe
3046,Italy,2005,All genders,Not applicable,Percent,0.59914,Europe
2263,Finland,2007,Male,Not applicable,Percent,0.60063,Europe
1619,Croatia,1999,All genders,Not applicable,Percent,0.60292,Europe
5903,Sweden,2006,Male,Not applicable,Percent,0.6058600000000001,Europe
1731,Czech Republic,2008,Male,Not applicable,Percent,0.61593,Europe
1721,Czech Republic,2011,Female,Not applicable,Percent,0.61754,Europe
5582,Slovakia,1994,All genders,Not applicable,Percent,0.6217,Europe
2275,Finland,2003,Male,Not applicable,Percent,0.6228199999999999,Europe
1740,Czech Republic,2005,All genders,Not applicable,Percent,0.6282300000000001,Europe
2254,Finland,2010,Female,Not applicable,Percent,0.63283,Europe
5907,Sweden,2005,Female,Not applicable,Percent,0.63885,Europe
3037,Italy,2008,Male,Not applicable,Percent,0.64368,Europe
1759,Czech Republic,1995,All genders,Not applicable,Percent,0.64542,Europe
6260,Ukraine,2012,All genders,Not applicable,Percent,0.64571,Europe
2488,Germany,2003,Female,Not applicable,Percent,0.64878,Europe
2483,Germany,2004,Female,Not applicable,Percent,0.65336,Europe
5118,Poland,2009,All genders,Not applicable,Percent,0.65487,Europe
2246,Finland,2012,Male,Not applicable,Percent,0.6553800000000001,Europe
2268,Finland,2005,All genders,Not applicable,Percent,0.66066,Europe
451,Belarus,2011,Female,Not applicable,Percent,0.66243,Europe
4670,Norway,2009,Male,Not applicable,Percent,0.6653399999999999,Europe
3029,Italy,2011,All genders,Not applicable,Percent,0.66545,Europe
1763,Czech Republic,1993,Female,Not applicable,Percent,0.6733,Europe
5603,Slovenia,2008,Female,Not applicable,Percent,0.67514,Europe
2285,Finland,1999,Female,Not applicable,Percent,0.67523,Europe
