"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Slovakia","2009","Not applicable","Not applicable","Percent","64.37349"
"Slovakia","2008","Not applicable","Not applicable","Percent","64.8121"
"Slovakia","2007","Not applicable","Not applicable","Percent","67.86034"
"Slovakia","2006","Not applicable","Not applicable","Percent","70.15073"
"Slovakia","2005","Not applicable","Not applicable","Percent","70.07964"
"Slovakia","2004","Not applicable","Not applicable","Percent","67.7145"
"Slovakia","2003","Not applicable","Not applicable","Percent","72.22811"
"Slovakia","2002","Not applicable","Not applicable","Percent","75.38602"
"Slovakia","2001","Not applicable","Not applicable","Percent","80.52882"
"Slovakia","2000","Not applicable","Not applicable","Percent","77.53122"
"Slovakia","1999","Not applicable","Not applicable","Percent","77.94103"
"Slovenia","2011","Not applicable","Not applicable","Percent","77.18342"
"Slovenia","2010","Not applicable","Not applicable","Percent","76.80574"
"Slovenia","2004","Not applicable","Not applicable","Percent","80.243"
"Slovenia","2003","Not applicable","Not applicable","Percent","78.58938"
"South Africa","2014","Not applicable","Not applicable","Percent","88.05476"
"South Africa","2013","Not applicable","Not applicable","Percent","87.2209"
"South Africa","2012","Not applicable","Not applicable","Percent","90.93848"
"South Africa","2011","Not applicable","Not applicable","Percent","90.27929"
"South Africa","2010","Not applicable","Not applicable","Percent","100"
"South Africa","2009","Not applicable","Not applicable","Percent","89.59016"
"South Africa","2008","Not applicable","Not applicable","Percent","87.80856"
"South Africa","2007","Not applicable","Not applicable","Percent","89.0343"
"South Africa","2006","Not applicable","Not applicable","Percent","95.9637"
"South Africa","2005","Not applicable","Not applicable","Percent","91.97375"
"South Africa","2004","Not applicable","Not applicable","Percent","79.97356"
"South Africa","2003","Not applicable","Not applicable","Percent","93.78342"
"South Africa","2001","Not applicable","Not applicable","Percent","81.14783"
"Spain","2011","Not applicable","Not applicable","Percent","83.68565"
"Spain","2010","Not applicable","Not applicable","Percent","83.68565"
"Spain","2009","Not applicable","Not applicable","Percent","83.86078"
"Spain","2008","Not applicable","Not applicable","Percent","83.45821"
"Spain","2007","Not applicable","Not applicable","Percent","83.97076"
"Spain","2006","Not applicable","Not applicable","Percent","81.1977"
"Spain","2005","Not applicable","Not applicable","Percent","78.98007"
"Spain","2004","Not applicable","Not applicable","Percent","80.54224"
"Spain","2003","Not applicable","Not applicable","Percent","85.42829"
"Spain","2002","Not applicable","Not applicable","Percent","84.20462"
"Spain","2001","Not applicable","Not applicable","Percent","86.3151"
"Spain","2000","Not applicable","Not applicable","Percent","86.17854"
"Spain","1999","Not applicable","Not applicable","Percent","87.77047"
"Sri Lanka","2013","Not applicable","Not applicable","Percent","89.72962"
"Sri Lanka","2012","Not applicable","Not applicable","Percent","90"
"Sri Lanka","2011","Not applicable","Not applicable","Percent","90"
"Sri Lanka","2010","Not applicable","Not applicable","Percent","90"
"Sri Lanka","2009","Not applicable","Not applicable","Percent","85"
"Sweden","2012","Not applicable","Not applicable","Percent","66.80022"
"Sweden","2011","Not applicable","Not applicable","Percent","65.88225"
"Sweden","2010","Not applicable","Not applicable","Percent","65.20077"
"Sweden","2009","Not applicable","Not applicable","Percent","65.81638"
"Sweden","2008","Not applicable","Not applicable","Percent","66.05996"
"Sweden","2007","Not applicable","Not applicable","Percent","66.79004"
"Sweden","2006","Not applicable","Not applicable","Percent","66.34165"
"Sweden","2005","Not applicable","Not applicable","Percent","69.06307"
"Sweden","2004","Not applicable","Not applicable","Percent","69.33926"
"Sweden","2003","Not applicable","Not applicable","Percent","68.07181"
"Sweden","2002","Not applicable","Not applicable","Percent","65.48759"
"Sweden","2001","Not applicable","Not applicable","Percent","61.80596"
"Sweden","2000","Not applicable","Not applicable","Percent","58.95434"
"Sweden","1999","Not applicable","Not applicable","Percent","59.45319"
"Sweden","1998","Not applicable","Not applicable","Percent","54.784"
"Switzerland","2012","Not applicable","Not applicable","Percent","85.09893"
"Switzerland","2011","Not applicable","Not applicable","Percent","85.16391"
"Switzerland","2010","Not applicable","Not applicable","Percent","85.24607"
"Switzerland","2009","Not applicable","Not applicable","Percent","84.64153"
"Switzerland","1998","Not applicable","Not applicable","Percent","85.77383"
"Syrian Arab Republic","2002","Not applicable","Not applicable","Percent","86.72964"
"Syrian Arab Republic","2000","Not applicable","Not applicable","Percent","86.4831"
"Syrian Arab Republic","1999","Not applicable","Not applicable","Percent","87.74801"
"Thailand","2012","Not applicable","Not applicable","Percent","57.01526"
"Thailand","2011","Not applicable","Not applicable","Percent","67.97127"
"Thailand","2010","Not applicable","Not applicable","Percent","23.75146"
"Timor-Leste","2011","Not applicable","Not applicable","Percent","80.72746"
"Timor-Leste","2007","Not applicable","Not applicable","Percent","79.11298"
"Togo","2014","Not applicable","Not applicable","Percent","82.70459"
"Togo","2013","Not applicable","Not applicable","Percent","79.59708"
"Togo","2012","Not applicable","Not applicable","Percent","77.85715"
"Togo","2011","Not applicable","Not applicable","Percent","93.55828"
"Togo","2010","Not applicable","Not applicable","Percent","91.93168"
"Togo","2009","Not applicable","Not applicable","Percent","95.38095"
"Togo","2008","Not applicable","Not applicable","Percent","94.83597"
"Togo","2007","Not applicable","Not applicable","Percent","96.60697"
"Togo","2000","Not applicable","Not applicable","Percent","83.20012"
"Togo","1999","Not applicable","Not applicable","Percent","79.56667"
"Togo","1998","Not applicable","Not applicable","Percent","85.87697"
"Tunisia","2012","Not applicable","Not applicable","Percent","95.9216"
"Tunisia","2000","Not applicable","Not applicable","Percent","92.75013"
"Tunisia","1999","Not applicable","Not applicable","Percent","90.43062"
"Turkey","2011","Not applicable","Not applicable","Percent","84.83727"
"Turks and Caicos Islands","2005","Not applicable","Not applicable","Percent","85.79782"
"Turks and Caicos Islands","2002","Not applicable","Not applicable","Percent","88.20782"
"Turks and Caicos Islands","2001","Not applicable","Not applicable","Percent","86.33869"
"Turks and Caicos Islands","2000","Not applicable","Not applicable","Percent","87.46109"
"Turks and Caicos Islands","1999","Not applicable","Not applicable","Percent","84.26396"
"Turks and Caicos Islands","1998","Not applicable","Not applicable","Percent","85.71429"
"Uganda","2013","Not applicable","Not applicable","Percent","57.59598"
"Uganda","2011","Not applicable","Not applicable","Percent","59.794"
"Uganda","2010","Not applicable","Not applicable","Percent","66.61465"
"Uganda","2009","Not applicable","Not applicable","Percent","63.54562"
"Uganda","2004","Not applicable","Not applicable","Percent","91.58021"
"Ukraine","1998","Not applicable","Not applicable","Percent","51.75041"
"United Arab Emirates","2013","Not applicable","Not applicable","Percent","87.13262"
"United Arab Emirates","2012","Not applicable","Not applicable","Percent","84.70829"
"United Arab Emirates","2011","Not applicable","Not applicable","Percent","82.73096"
"United Arab Emirates","2009","Not applicable","Not applicable","Percent","85.26723"
"United Arab Emirates","2006","Not applicable","Not applicable","Percent","83.18123"
"United Arab Emirates","1998","Not applicable","Not applicable","Percent","88.88213"
"United Kingdom of Great Britain and Northern Ireland","2013","Not applicable","Not applicable","Percent","77.62558"
"United Kingdom of Great Britain and Northern Ireland","2011","Not applicable","Not applicable","Percent","81.83059"
"United Kingdom of Great Britain and Northern Ireland","2010","Not applicable","Not applicable","Percent","61.18545"
"United Kingdom of Great Britain and Northern Ireland","2009","Not applicable","Not applicable","Percent","77.64841"
"United Kingdom of Great Britain and Northern Ireland","2008","Not applicable","Not applicable","Percent","77.36341"
"United Kingdom of Great Britain and Northern Ireland","2007","Not applicable","Not applicable","Percent","76.95242"
"United Kingdom of Great Britain and Northern Ireland","2006","Not applicable","Not applicable","Percent","79.08317"
"United Kingdom of Great Britain and Northern Ireland","2005","Not applicable","Not applicable","Percent","80.78994"
"United Kingdom of Great Britain and Northern Ireland","2004","Not applicable","Not applicable","Percent","69.79451"
"United Kingdom of Great Britain and Northern Ireland","2003","Not applicable","Not applicable","Percent","76.08076"
"United Kingdom of Great Britain and Northern Ireland","2002","Not applicable","Not applicable","Percent","75.84877"
"United Kingdom of Great Britain and Northern Ireland","2001","Not applicable","Not applicable","Percent","75.27349"
"United Kingdom of Great Britain and Northern Ireland","2000","Not applicable","Not applicable","Percent","74.90427"
"United Kingdom of Great Britain and Northern Ireland","1999","Not applicable","Not applicable","Percent","62.99286"
"United Kingdom of Great Britain and Northern Ireland","1998","Not applicable","Not applicable","Percent","64.52326"
"United States of America","2012","Not applicable","Not applicable","Percent","81.37325"
"United States of America","2011","Not applicable","Not applicable","Percent","81.26575"
"United States of America","2010","Not applicable","Not applicable","Percent","81.54702"
"United States of America","2009","Not applicable","Not applicable","Percent","81.40673"
"United States of America","2008","Not applicable","Not applicable","Percent","81.07636"
"United States of America","2007","Not applicable","Not applicable","Percent","80.46511"
"United States of America","2006","Not applicable","Not applicable","Percent","80.33486"
"United States of America","2005","Not applicable","Not applicable","Percent","80.84244"
"United States of America","2004","Not applicable","Not applicable","Percent","81.00888"
"United States of America","2003","Not applicable","Not applicable","Percent","81.13835"
"United States of America","2002","Not applicable","Not applicable","Percent","81.09342"
"United States of America","2001","Not applicable","Not applicable","Percent","81.04826"
"United States of America","2000","Not applicable","Not applicable","Percent","81.35696"
"United States of America","1999","Not applicable","Not applicable","Percent","82.30571"
"United States of America","1998","Not applicable","Not applicable","Percent","82.57523"
"Uruguay","2011","Not applicable","Not applicable","Percent","89.34802"
"Uruguay","2006","Not applicable","Not applicable","Percent","93.06272"
"Uruguay","2005","Not applicable","Not applicable","Percent","92.66942"
"Uruguay","2004","Not applicable","Not applicable","Percent","82.69357"
"Uruguay","2003","Not applicable","Not applicable","Percent","58.04793"
"Uruguay","2002","Not applicable","Not applicable","Percent","58.04795"
"Uruguay","2000","Not applicable","Not applicable","Percent","89.14491"
"Uruguay","1999","Not applicable","Not applicable","Percent","88.23969"
"Vanuatu","2009","Not applicable","Not applicable","Percent","92.20949"
"Vanuatu","2008","Not applicable","Not applicable","Percent","86.14877"
"Vanuatu","2001","Not applicable","Not applicable","Percent","96.87829"
"Vanuatu","2000","Not applicable","Not applicable","Percent","97.73794"
"Vanuatu","1999","Not applicable","Not applicable","Percent","96.01225"
"Vanuatu","1998","Not applicable","Not applicable","Percent","56.0937"
"Venezuela (Bolivarian Republic of)","2009","Not applicable","Not applicable","Percent","89.48732"
"Viet Nam","2011","Not applicable","Not applicable","Percent","80"
"Viet Nam","2010","Not applicable","Not applicable","Percent","83.15039"
"Yemen","2013","Not applicable","Not applicable","Percent","94.0688"
"Zambia","2004","Not applicable","Not applicable","Percent","82.948"
"Zambia","2000","Not applicable","Not applicable","Percent","99.19066"

